,20-period CMF
134,0.10910104888679428
135,0.12291943471507358
136,0.09118888962219167
137,0.12938009771023218
138,0.15844404335910078
139,0.07922364797135348
140,0.04298725992030626
141,-0.006059470676135065
142,-0.03380487909520588
143,-0.030307781729681064
144,-0.025866270079014833
145,0.02265309833853994
146,-0.012173146701180434
147,-0.03479072251883508
148,-0.07690419834081404
149,-0.11886749660807984
150,-0.13439504310034744
151,-0.11036047039517345
152,-0.10099032037831203
153,-0.17295071919438437
154,-0.19391928325506907
155,-0.19764695567051435
156,-0.23466746464676577
157,-0.2759314826918302
158,-0.30249325096538443
159,-0.28635285920961034
160,-0.18148462490167733
161,-0.19327401377324788
162,-0.15324435885406246
163,-0.22397249060918842
164,-0.1536519598956744
165,-0.1815194430672541
166,-0.15209097555261336
167,-0.13106586749064364
168,-0.09900930148896488
169,-0.12355308363641386
170,-0.14367259793054418
171,-0.16825741700169436
172,-0.1660986936762046
173,-0.1495325955880687
174,-0.20881961481857808
175,-0.17008805139847671
176,-0.1635369464417963
177,-0.1291457456752174
178,-0.12065889656741302
179,-0.1329955925938282
180,-0.22177924159972057
181,-0.18158492288015868
182,-0.22159586909507
183,-0.2095783537496423
184,-0.2767787710505188
185,-0.23768742814534347
186,-0.2875359169980561
187,-0.26476258288192983
188,-0.29003594024884505
189,-0.2224579758698943
190,-0.16057342660125065
191,-0.10072602694703331
192,-0.1203759393407468
193,-0.12502408767442144
194,-0.13999398012637546
195,-0.13618197735217313
196,-0.09708267177702815
197,-0.08265035286033534
198,-0.09961475986911285
199,-0.09629501494469722
200,-0.08291819434358798
201,-0.08610091665974055
202,-0.09180847979847984
203,-0.038595014004772006
204,0.01967344860140419
205,-0.039163112660270845
206,-0.017436578039369207
207,-0.08999252052491351
208,-0.09475964886540027
209,-0.13513203582474387
210,-0.13666694470043816
211,-0.1868546587129529
212,-0.20700701795592016
213,-0.18241245877902498
214,-0.12927703708185942
215,-0.17309845962959663
216,-0.18618076178931095
217,-0.22408545649667158
218,-0.23594881080277375
219,-0.15122835017681163
220,-0.17787427358107663
221,-0.18650797994740653
222,-0.14529194589475675
223,-0.17649629140288697
224,-0.18985823057485682
225,-0.13533543720868893
226,-0.13750007272791495
227,-0.11418354281530924
228,-0.12702839866476118
229,-0.12436662137506634
230,-0.1254517030249792
231,-0.13102980060056657
232,-0.123702238644242
233,-0.14889086334788096
234,-0.20640544527229301
235,-0.14301197663696813
236,-0.1832366663267592
237,-0.2165687079790474
238,-0.19208621940020273
239,-0.23179767264282913
240,-0.1414837237325268
241,-0.11408880418599752
242,-0.1404698442338852
243,-0.1495353193916543
244,-0.15600227623954116
245,-0.16487433235301485
246,-0.19925722061681356
247,-0.20455370617269114
248,-0.21363161864212013
249,-0.19040254790519026
250,-0.21131264703968405
251,-0.21042322628400922
252,-0.21311858035074127
253,-0.17908595223032825
254,-0.17133636454956572
255,-0.15085737872138508
256,-0.10819102395802262
257,-0.08377385778625977
258,-0.1331858719649771
259,-0.18514796667850492
260,-0.2307064695452341
261,-0.21218160405403985
262,-0.2279147789163002
263,-0.2490030694737092
264,-0.2669531161063567
265,-0.296879478538798
266,-0.28368239712504795
267,-0.2641745495893782
268,-0.1983516492619167
269,-0.2429936412360787
270,-0.22463418270883953
271,-0.16572391619677695
272,-0.1332272569352693
273,-0.09685304308320267
274,-0.03467689137361855
275,-0.01940069550882525
276,0.002127220129545238
277,-0.018042432430276006
278,0.00727788544275981
279,0.04566721474678958
280,0.009927914552743233
281,-0.04021262496781936
282,-0.0292909804863136
283,0.04381215343147192
284,0.09786651400258863
285,0.05917322726322841
286,0.044402060940332264
287,0.06571322224993667
288,0.07583167286688527
289,0.11058297908741808
290,0.03659370732147433
291,0.0384164151019579
292,0.0029974649580840566
293,-0.02639066105636101
294,-0.029053094089403608
295,-0.10793380393722107
296,-0.13677093602148505
297,-0.08310588240444826
298,-0.08660556717325675
299,-0.1105295130041627
300,-0.10906139909460273
301,-0.14046834405788364
302,-0.13063490850715834
303,-0.17312481181043676
304,-0.258311686461343
305,-0.2739348941513208
306,-0.2801700524610094
307,-0.27026028212102143
308,-0.28056442926094355
309,-0.18447269955194392
310,-0.13187528082029154
311,-0.08245977203599156
312,-0.059215923856282424
313,-0.026491547145393046
314,-0.0962426252377638
315,-0.08277997098854097
316,-0.13325498763501295
317,-0.20365876762383645
318,-0.16486289198401663
319,-0.13412294237158137
320,-0.09436320620780374
321,-0.09177473839115843
322,-0.09017309032707786
323,-0.11537250982314469
324,-0.11940953308037945
325,-0.07645455583391843
326,-0.07825753730605817
327,-0.1060294023559185
328,-0.09209780173616779
329,-0.16627841738626678
330,-0.17691272481301915
331,-0.2143296350297007
332,-0.2461327151833612
333,-0.2739477044318625
334,-0.22033796449044807
335,-0.17232763078253538
336,-0.08523750354586815
337,-0.01951518025157252
338,-0.03348804230896785
339,-0.05164129289773198
340,-0.08722447521520896
341,-0.07711624792294601
342,-0.10114581835462039
343,-0.09085887203626339
344,-0.049901551463394964
345,-0.06159497151684515
346,0.00872497234565068
